Название компании	Объем торгов (акции)	Объем торгов (цена)	Дата
SBER	19754539	5982166217,53	2025-05-02
GAZP	105846900	15268546320,81	2025-05-02
SBER	2943757	885656415,98	2025-05-03
GAZP	22126587	3088393965,61	2025-05-03
SBER	0	0,00	2025-05-04
GAZP	0	0,00	2025-05-04
SBER	45512596	13481675360,35	2025-05-05
GAZP	180796341	24686235880,46	2025-05-05
SBER	49331131	14774205215,22	2025-05-06
GAZP	204860949	28034156047,34	2025-05-06
SBER	29670287	8977270489,16	2025-05-07
GAZP	112963827	15677573943,25	2025-05-07
SBER	20813299	6320845909,61	2025-05-08
GAZP	145785275	20801766582,98	2025-05-08
SBER	2085387	631584804,60	2025-05-10
GAZP	23190515	3338029412,15	2025-05-10
SBER	6088558	1871015402,71	2025-05-11
GAZP	14124799	2115361818,27	2025-05-11
SBER	34705308	10751517749,74	2025-05-12
GAZP	149540378	22015681111,71	2025-05-12
SBER	24765314	7705037978,28	2025-05-13
GAZP	80207845	11717826956,62	2025-05-13
SBER	27154774	8425363800,97	2025-05-14
GAZP	101415757	14683614481,49	2025-05-14
SBER	47490670	14407583456,93	2025-05-15
GAZP	154681851	21688045158,36	2025-05-15
SBER	63959360	19427858026,39	2025-05-16
GAZP	186041407	25563763389,71	2025-05-16
SBER	4796504	1477904892,53	2025-05-17
GAZP	25226261	3559074434,34	2025-05-17
SBER	606821	201519688,96	2025-05-18
GAZP	0	0,00	2025-05-18
SBER	44501626	13789423731,79	2025-05-19
GAZP	142357049	20128185323,43	2025-05-19
SBER	19813215	6083855576,18	2025-05-20
GAZP	95712341	13183037887,72	2025-05-20
SBER	20458408	6243195682,37	2025-05-21
GAZP	136286912	18736915545,43	2025-05-21
SBER	35016465	10582889847,66	2025-05-22
GAZP	188986365	25002238246,06	2025-05-22
SBER	17178192	5199481520,86	2025-05-23
GAZP	76882551	10016766629,12	2025-05-23
SBER	34635829	10307842172,73	2025-05-26
GAZP	119029335	15046201533,62	2025-05-26
SBER	25762755	7673825778,08	2025-05-27
GAZP	106324687	13355576344,63	2025-05-27
SBER	48003891	14648874239,02	2025-05-28
GAZP	98406385	12750254642,41	2025-05-28
SBER	24051743	7398764986,74	2025-05-29
GAZP	66318270	8683297517,08	2025-05-29
SBER	21918446	6760051527,80	2025-05-30
GAZP	84544331	11078608644,81	2025-05-30
SBER	1460504	451385061,26	2025-05-31
GAZP	6867990	909998501,86	2025-05-31
