Название компании	Объем торгов (акции)	Объем торгов (цена)	Дата
SBER	66332389	10480738719,46	2023-02-01
YNDX	1733264	3613246621,20	2023-02-01
GAZP	14240368	2252685081,95	2023-02-01
SBER	53866419	8572055609,23	2023-02-02
YNDX	420353	871855671,20	2023-02-02
GAZP	11991342	1895527228,27	2023-02-02
SBER	63735647	10194049643,51	2023-02-03
YNDX	538459	1101946127,80	2023-02-03
GAZP	69540198	11193128638,20	2023-02-03
SBER	89083776	14666444079,94	2023-02-06
YNDX	764671	1601598246,60	2023-02-06
GAZP	28144441	4503143585,78	2023-02-06
SBER	92661812	15345945970,33	2023-02-07
YNDX	442888	921453136,00	2023-02-07
GAZP	13955033	2234091220,83	2023-02-07
SBER	58669202	9653017142,98	2023-02-08
YNDX	421576	866800667,00	2023-02-08
GAZP	16688384	2651256477,15	2023-02-08
SBER	107139424	17608916465,05	2023-02-09
YNDX	246706	504611366,80	2023-02-09
GAZP	27661126	4405538926,49	2023-02-09
SBER	40924817	6774252352,06	2023-02-10
YNDX	322535	661372704,60	2023-02-10
GAZP	9874341	1567204507,76	2023-02-10
SBER	36212354	5995208491,71	2023-02-13
YNDX	399731	828902730,40	2023-02-13
GAZP	11418614	1808652140,19	2023-02-13
SBER	58833084	9574264272,56	2023-02-14
YNDX	796126	1611542448,40	2023-02-14
GAZP	18614733	2916563257,48	2023-02-14
SBER	113804331	17992887848,87	2023-02-15
YNDX	1837212	3684399014,20	2023-02-15
GAZP	27565279	4250366592,95	2023-02-15
SBER	68549382	10824277926,58	2023-02-16
YNDX	626499	1246582214,00	2023-02-16
GAZP	17324857	2652074691,94	2023-02-16
SBER	52180037	8295165610,54	2023-02-17
YNDX	332342	654580815,80	2023-02-17
GAZP	13264975	2041953600,78	2023-02-17
SBER	63971748	10151635497,97	2023-02-20
YNDX	449058	871788551,20	2023-02-20
GAZP	15317106	2339985986,28	2023-02-20
SBER	127422637	20810083060,65	2023-02-21
YNDX	821232	1639869152,40	2023-02-21
GAZP	21396032	3320213325,03	2023-02-21
SBER	43772513	7150980009,20	2023-02-22
YNDX	242292	480471124,00	2023-02-22
GAZP	11654086	1806087256,41	2023-02-22
SBER	37727317	6199639992,30	2023-02-24
YNDX	144989	288582732,20	2023-02-24
GAZP	9977903	1547388207,20	2023-02-24
SBER	100133512	16780777547,95	2023-02-27
YNDX	669644	1331735269,80	2023-02-27
GAZP	17130730	2670376096,64	2023-02-27
SBER	80748297	13727304297,26	2023-02-28
YNDX	353995	714900918,00	2023-02-28
GAZP	18437923	2891654637,89	2023-02-28
